D1_D2_H2,0.13,87.16,8.23,4.47
D1_D2_H1,0.13,86.38,8.93,4.56
D1_D2_S2,0.18,85.32,9.74,4.76
D1_S2_H2,21.67,1.24,66.69,10.39
D1_S1_S2,19.00,0.98,68.97,11.05
D2_S2_H2,16.86,1.03,67.73,14.38
D1_S1_H1,12.81,0.99,73.08,13.11
D1_S1_H2,9.47,1.00,75.21,14.32
D2_S1_H1,9.15,0.81,74.06,15.97
D2_S1_H2,7.07,0.81,75.36,16.76
