w81-w85,9.817,58.720,42.023,1.196,1.057,298.169,0.237,0.061,37375,7827,0.420,3542.864,169.400
w81-w85-w69,17.691,98.331,59.111,5.876,5.037,470.087,0.264,0.128,31503,12856,0.311,6019.691,169.400
w81,5.027,26.847,19.571,0.565,0.519,133.659,0.291,0.098,33861,8905,0.353,3000.601,169.400
w85,4.790,31.876,22.452,0.630,0.539,164.511,0.180,0.031,40561,5995,0.494,2863.045,169.399
w69,7.874,40.349,17.155,4.681,3.977,171.918,0.299,0.244,23538,17831,0.189,4603.556,168.553
w105,3.375,42.516,13.172,3.975,2.181,98.671,0.268,0.104,35784,11380,0.553,2309.683,163.958
