w03 6762
w04 6613
w05 4612
w06 136
w07 1022
w08 202
w09 3981
w10 3989
w11 94
w12 30
w13 1210
w14 3958
w15 336
w16 469
w17 142
w18 379
w19 93
w20 4301
w21 1882
w22 503
w23 379
w24 546
w25 1077
w26 422
w27 202
w28 6
w29 246
w30 134
w31 6066
w32 393
w33 55
w34 639
w35 38
w36 47
w37 400
w38 125
w39 34
w40 42
w50 298
w51 11
w52 45
w53 158
w54 1
w55 7
w56 29
w57 31
w58 210
w59 44
w60 116
w61 158
w62 297
w63 371
w64 2
w65 423
w66 8
w67 22
w68 41
w69 140
w70 78
w71 47
w72 25
w73 46
w74 15
w75 67
w76 44
w77 93
w78 87
w79 238
w80 22
w81 151
w82 8
w83 4
w84 80
w85 173
w86 588
w87 190
w88 31
w89 1
w40 42
w41 36
w42 150
w43 398
w44 23
w45 12
w46 2348
w47 11
w48 1111
w49 19
w90 111
w91 109
w92 177
w93 6
w94 113
w95 37
w96 70
w97 152
w98 146
w99 138
w100 157
w101 168
w102 33
w103 47
w104 355
w105 115
w106 33
w01 2 
w02 78
